flow,group
export_manure_N_kg,export_organic_matter
n_slaughter_pig,slaughtering
n_pig_2016,livestock_population
LLU_cattle_2016,livestock_population
LLU_cattle_2020,livestock_population
n_dairy_cow_2016,livestock_population
N_yield_mowing,grass_maize_production
N_excretion_dairy,manure_production
slaughter_weight_pig,slaughtering
N_excretion_pig,manure_production
N_content_pig,slaughtering
slaughter_weight_fraction_pig,slaughtering
share_grazing,grass_maize_production
scenario_allocate_crop_biogas_a,lever_1
scenario_overall_livestock_reduction_a,lever_3
scenario_allocate_crop_feed_a,lever_1
scenario_allocate_manure_export_a,lever_4
scenario_allocate_manure_crop_a,lever_4
scenario_allocate_crop_food_a,lever_1
export_manure_P_kg,export_organic_matter
P_yield_mowing,grass_maize_production
P_content_pig,slaughtering
manure_N_to_PtwoOfive_dairy,manure_production
K_yield_mowing,grass_maize_production
manure_N_to_KtwoO_dairy,manure_production
manure_N_to_KtwoO_calf,manure_production
manure_N_to_KtwoO_pig,manure_production
Kwel_to_digestate,biogas
scenario_allocate_manure_biogas_a,lever_4
import_inorganic_N_kg_LF,inorganic_fertilizer
scenario_share_pig_a,lever_2
N_biogas_input,biogas
import_organic_K_kg,import_organic_matter
import_organic_N_kg,import_organic_matter
N_excretion_heifer,manure_production
export_other_organic_N_kg,export_organic_matter
export_other_organic_P_kg,export_organic_matter
share_N_biogas_input_animal,biogas
cattle_housingloss_rate_liquid,animal_housinglosses
convert_manure_to_inorganic_N,inorganic_fertilizer
convert_manure_to_inorganic_P,inorganic_fertilizer
n_heifer_2016,livestock_population
yield_summer_wheat,grass_maize_production
export_other_organic_K_kg,export_organic_matter
K_biogas_input,biogas
yield_share_summer_wheat,grass_maize_production
convert_manure_to_inorganic_K,manure_production
