label,variable,lower,median,upper,percent,distribution
local animal products consumed (kg/yr),local_animal_products_consumed,1238.211,1482,1725.789,10%,posnorm
sewage,sewage,1744.64275,1901,2057.35725,5%,posnorm
waste water direct charge / remains in canalisation,waste_water_direct_charge,890.2175,970,1049.7825,5%,posnorm
sewage sludge export,sewage_sludge_export,385.455,420,454.545,5%,posnorm
manure as biogas substrate,manure_as_biogas_substrate,812.9415,973,1133.0585,10%,posnorm
effluent / gaseous losses during WwT,gaseous_losses_WWT,852.51,1448,2043.49,25%,posnorm
fresh compost export,fresh_compost_export,135.827,148,160.173,5%,posnorm
cultivation losses,cultivation_losses,4405.0275,7482,10558.9725,25%,posnorm
other organic fertilizer export,other_organic_fertilizer_export,256.10625,435,613.89375,25%,posnorm
manure,manure,7772.42475,8469,9165.57525,5%,posnorm
straw,straw,91.0695,109,126.9305,10%,posnorm
manure export,manure_export,1725.37,1880,2034.63,5%,posnorm
meat export,meat_export,591.105,1004,1416.895,25%,posnorm
vegetal products export,vegetal_products_export,309.09375,525,740.90625,25%,posnorm
milk export,milk_export,1042.67625,1771,2499.32375,25%,posnorm
"production, animal housing and storage losses",production_animal_housing,3012.0555,3282,3551.9445,5%,posnorm
feed crops,feed_crops,3387.9525,4055,4722.0475,10%,posnorm
grass-based feed,grass_based_feed,2346.16875,3985,5623.83125,25%,posnorm
feed from processed crops,feed_from_processed_crops,332.816,496,659.184,20%,posnorm
slaughter animals,slaughter_animals,2408.7465,2883,3357.2535,10%,posnorm
local animal products produced,local_animal_products_produced,1924.1565,2303,2681.8435,10%,posnorm
processed import feed,processed_import_feed,6562.79625,11147,15731.20375,25%,posnorm
fruits and vegetables,fruits_and_vegetables,148.719,178,207.281,10%,posnorm
food and feed crops,food_and_feed_crops,1249.9755,1362,1474.0245,5%,posnorm
slaughter waste,slaughter_waste,546.36,928,1309.64,25%,posnorm
net feed import,net_feed_import,6562.79625,11147,15731.20375,25%,posnorm
net food import,net_food_import,195.465,332,468.535,25%,posnorm
organic fertilizer import,organic_fertilizer_import,1148.10525,1251,1353.89475,5%,posnorm
inorganic fertilizers,inorganic_fertilizers,7217.186,7864,8510.814,5%,posnorm
vegetal biogas substrate,vegetal_biogas_substrate,1305.051,1562,1818.949,10%,posnorm
digestate,digestate,1157.1675,1385,1612.8325,10%,posnorm
sewage sludge,sewage_sludge,30.28575,33,35.71425,5%,posnorm
fresh compost,fresh_compost,152.3465,166,179.6535,5%,posnorm
OFMSW import,OFMSW_import,164.5935,197,229.4065,10%,posnorm
finished compost to hobbygardeners,finished_compost_to_hobbygardeners,7.342,8,8.658,5%,posnorm
OFMSW,OFMSW,245.637,294,342.363,10%,posnorm
OFMSW in residual waste,OFMSW_in_residual_waste,30.078,36,41.922,10%,posnorm
imported vegetal products,imported_vegetal_products,116.5725,198,279.4275,25%,posnorm
imported animal products,imported_animal_products,78.8925,134,189.1075,25%,posnorm
local vegetal products,local_vegetal_products,305.56125,519,732.43875,25%,posnorm
