variable,source,target
animal_housing_and_storage_losses,animal,environment
compost_to_consumption,waste,consumption
crop_cultivation_losses,crop,environment
digestate,waste,crop
egg_and_dairy,animal,processing
export_dairy_egg,processing,export
export_meat,processing,export
export_vegetable,processing,export
feed_crops,crop,animal
feed_from_processed_crops,processing,animal
food_and_feed_crops,crop,processing
fresh_compost_crop,waste,crop
fresh_compost_export,waste,export
fruit_and_vegetable,crop,processing
grassbased_feed,crop,animal
import_inorganic_fertilizer,import,crop
import_OFMSW,import,waste
import_organic_fertilizer,import,crop
import_processed_feed,import,processing
imported_vegetal_products,processing,consumption
local_animal_products_consumed,processing,consumption
local_vegetal_products_consumed,processing,consumption
manure_as_biogas_substrate,animal,waste
manure_export,animal,export
manure_to_crop,animal,crop
net_feed_import,import,processing
net_food_import,import,processing
ofmsw,consumption,waste
ofmsw_residual_waste,consumption,waste
other_organic_fertilizer_export,crop,export
sewage,consumption,waste
sewage_sludge_export,waste,export
sewage_to_crop,waste,crop
slaughter_animal,animal,processing
slaughter_waste,processing,export
straw,crop,animal
vegetal_biogas_substrate,crop,waste
wastewater_direct_discharge,consumption,environment
wastewater_effluent_gaseous_losses,waste,environment
